cod_ibge;tiposeade;estadual;federal;municipal;particular;total_geral
3500907;Diagnose e Terapia;0;0;0;0;0
3500907;Hospital;0;0;0;0;0
3500907;Outros;0;0;2;0;2
3500907;Pronto Atendimento;0;0;0;0;0
3500907;Unidade Básica de Saúde;0;0;3;0;3
3500907;Unidade de Saúde Mental ;0;0;0;0;0
3500907;Unidade Móvel;0;0;1;0;1
3500907;Vigilância em Saúde;0;0;0;0;0
3501004;Clínica;0;0;5;6;11
3501004;Consultório Isolado;0;0;2;32;34
3501004;Diagnose e Terapia;0;0;1;0;1
3501004;Hospital;0;0;0;1;1
3501004;Outros;0;0;3;0;3
3501004;Pronto Atendimento;0;0;0;0;0
3501004;Unidade Básica de Saúde;0;0;7;0;7
3501004;Unidade de Saúde Mental ;0;0;0;0;0
3501004;Unidade Móvel;0;0;1;0;1
3501004;Vigilância em Saúde;0;0;2;0;2
3501103;Clínica;0;0;1;0;1
3501103;Consultório Isolado;0;0;0;2;2
3501103;Diagnose e Terapia;0;0;0;0;0
3501103;Hospital;0;0;1;0;1
3501103;Outros;0;0;1;0;1
3501103;Pronto Atendimento;0;0;0;0;0
3501103;Unidade Básica de Saúde;0;0;3;0;3
3501103;Unidade de Saúde Mental ;0;0;0;0;0
3501103;Unidade Móvel;0;0;0;0;0
3501103;Vigilância em Saúde;0;0;0;0;0
3501152;Clínica;0;0;1;4;5
3501152;Consultório Isolado;0;0;1;4;5
3501152;Diagnose e Terapia;0;0;0;1;1
3501152;Hospital;0;0;0;0;0
3501152;Outros;0;0;2;0;2
3501152;Pronto Atendimento;0;0;1;0;1
3501152;Unidade Básica de Saúde;0;0;2;0;2
3501152;Unidade de Saúde Mental ;0;0;0;0;0
3501152;Unidade Móvel;0;0;0;0;0
3501152;Vigilância em Saúde;0;0;2;0;2
3501202;Clínica;0;0;0;0;0
3501202;Consultório Isolado;0;0;0;1;1
3501202;Diagnose e Terapia;0;0;0;0;0
3501202;Hospital;0;0;0;0;0
3501202;Outros;0;0;1;0;1
3501202;Pronto Atendimento;0;0;0;0;0
3501202;Unidade Básica de Saúde;0;0;3;0;3
3501202;Unidade de Saúde Mental ;0;0;0;0;0
3501202;Unidade Móvel;0;0;0;0;0
3501202;Vigilância em Saúde;0;0;0;0;0
3501301;Clínica;0;0;2;3;5
3501301;Consultório Isolado;0;0;0;11;11
3501301;Diagnose e Terapia;0;0;0;4;4
3501301;Hospital;0;0;0;1;1
3501301;Outros;0;0;2;0;2
3501301;Pronto Atendimento;0;0;0;0;0
3501301;Unidade Básica de Saúde;0;0;8;0;8
3501301;Unidade de Saúde Mental ;0;0;0;0;0
3501301;Unidade Móvel;0;0;0;0;0
3501301;Vigilância em Saúde;0;0;0;0;0
3501400;Clínica;0;0;0;0;0
3501400;Consultório Isolado;0;0;0;0;0
3501400;Diagnose e Terapia;0;0;0;0;0
3501400;Hospital;0;0;0;0;0
3501400;Outros;0;0;1;0;1
3501400;Pronto Atendimento;0;0;0;0;0
3501400;Unidade Básica de Saúde;1;0;1;0;2
3501400;Unidade de Saúde Mental ;0;0;0;0;0
3501400;Unidade Móvel;0;0;0;0;0
3501400;Vigilância em Saúde;0;0;0;0;0
3501509;Clínica;0;0;0;0;0
3501509;Consultório Isolado;0;0;0;0;0
3501509;Diagnose e Terapia;0;0;0;0;0
3501509;Hospital;0;0;0;0;0
3501509;Outros;0;0;2;0;2
3501509;Pronto Atendimento;0;0;0;0;0
3501509;Unidade Básica de Saúde;0;0;1;0;1
3501509;Unidade de Saúde Mental ;0;0;0;0;0
3501509;Unidade Móvel;0;0;0;0;0
3501509;Vigilância em Saúde;0;0;0;0;0
3501608;Clínica;0;0;5;27;32
3501608;Consultório Isolado;0;0;1;942;943
3501608;Diagnose e Terapia;0;0;0;58;58
3501608;Hospital;0;0;2;7;9
3501608;Outros;0;0;5;6;11
3501608;Pronto Atendimento;0;0;1;0;1
3501608;Unidade Básica de Saúde;1;0;26;0;27
3501608;Unidade de Saúde Mental ;0;0;3;0;3
3501608;Unidade Móvel;1;0;0;0;1
3501608;Vigilância em Saúde;0;0;1;0;1
3501707;Clínica;0;0;2;6;8
3501707;Consultório Isolado;0;0;0;12;12
3501707;Diagnose e Terapia;0;0;0;1;1
3501707;Hospital;2;0;0;0;2
3501707;Outros;0;0;5;1;6
3501707;Pronto Atendimento;0;0;0;1;1
3501707;Unidade Básica de Saúde;0;0;6;1;7
3501707;Unidade de Saúde Mental ;0;0;1;0;1
3501707;Unidade Móvel;0;0;2;0;2
3501707;Vigilância em Saúde;0;0;2;0;2
3501806;Clínica;0;0;1;0;1
3501806;Consultório Isolado;0;0;0;5;5
3501806;Diagnose e Terapia;0;0;0;0;0
3501806;Hospital;0;0;0;0;0
3501806;Outros;0;0;1;1;2
3501806;Pronto Atendimento;0;0;0;0;0
3501806;Unidade Básica de Saúde;0;0;2;0;2
3501806;Unidade de Saúde Mental ;0;0;0;0;0
3501806;Unidade Móvel;0;0;0;0;0
3501806;Vigilância em Saúde;0;0;0;0;0
3501905;Clínica;1;0;5;24;30
3501905;Consultório Isolado;0;0;0;257;257
3501905;Diagnose e Terapia;0;0;1;49;50
3501905;Hospital;0;0;0;4;4
3501905;Outros;0;0;10;5;15
3501905;Pronto Atendimento;0;0;0;1;1
3501905;Unidade Básica de Saúde;0;0;20;0;20
3501905;Unidade de Saúde Mental ;0;0;2;0;2
3501905;Unidade Móvel;0;0;1;1;2
3501905;Vigilância em Saúde;0;0;2;0;2
3502002;Clínica;0;0;0;0;0
3502002;Consultório Isolado;0;0;0;4;4
3502002;Diagnose e Terapia;0;0;0;1;1
3502002;Hospital;0;0;0;0;0
3502002;Outros;0;0;1;0;1
3502002;Pronto Atendimento;0;0;0;0;0
3502002;Unidade Básica de Saúde;0;0;1;0;1
3502002;Unidade de Saúde Mental ;0;0;0;0;0
3502002;Unidade Móvel;0;0;0;0;0
3502002;Vigilância em Saúde;0;0;0;0;0
3502101;Clínica;1;0;4;5;10
3502101;Consultório Isolado;0;0;3;225;228
3502101;Diagnose e Terapia;0;0;1;10;11
3502101;Hospital;1;0;0;2;3
3502101;Outros;0;0;5;1;6
3502101;Pronto Atendimento;0;0;2;1;3
3502101;Unidade Básica de Saúde;1;0;8;0;9
3502101;Unidade de Saúde Mental ;0;0;2;0;2
3502101;Unidade Móvel;0;0;0;15;15
3502101;Vigilância em Saúde;0;0;4;0;4
3502200;Clínica;0;0;1;2;3
3502200;Consultório Isolado;0;0;0;23;23
3502200;Diagnose e Terapia;0;0;1;9;10
3502200;Hospital;0;0;0;1;1
3502200;Outros;0;0;3;0;3
3502200;Pronto Atendimento;0;0;0;0;0
3502200;Unidade Básica de Saúde;0;0;11;0;11
3502200;Unidade de Saúde Mental ;0;0;1;0;1
3502200;Unidade Móvel;0;0;1;0;1
3502200;Vigilância em Saúde;0;0;2;0;2
3502309;Clínica;0;0;0;0;0
3502309;Consultório Isolado;0;0;1;7;8
3502309;Diagnose e Terapia;0;0;0;0;0
3502309;Hospital;0;0;0;0;0
3502309;Outros;0;0;2;0;2
3502309;Pronto Atendimento;0;0;0;0;0
3502309;Unidade Básica de Saúde;0;0;3;0;3
3502309;Unidade de Saúde Mental ;0;0;0;0;0
3502309;Unidade Móvel;0;0;1;0;1
3502309;Vigilância em Saúde;0;0;0;0;0
3502408;Clínica;0;0;1;0;1
3502408;Consultório Isolado;0;0;1;0;1
3502408;Diagnose e Terapia;0;0;0;0;0
3502408;Hospital;0;0;0;0;0
3502408;Outros;0;0;3;0;3
3502408;Pronto Atendimento;0;0;0;0;0
3502408;Unidade Básica de Saúde;0;0;2;0;2
3502408;Unidade de Saúde Mental ;0;0;0;0;0
3502408;Unidade Móvel;0;0;0;0;0
3502408;Vigilância em Saúde;0;0;1;0;1
3502507;Clínica;0;0;2;3;5
3502507;Consultório Isolado;0;0;0;21;21
3502507;Diagnose e Terapia;0;0;2;5;7
3502507;Hospital;0;0;0;1;1
3502507;Outros;0;0;3;0;3
3502507;Pronto Atendimento;0;0;1;0;1
3502507;Unidade Básica de Saúde;0;0;11;0;11
3502507;Unidade de Saúde Mental ;0;0;1;0;1
3502507;Unidade Móvel;0;0;1;0;1
3502507;Vigilância em Saúde;0;0;0;0;0
3502606;Clínica;0;0;0;0;0
3502606;Consultório Isolado;0;0;0;0;0
3502606;Diagnose e Terapia;0;0;0;2;2
3502606;Hospital;0;0;0;1;1
3502606;Outros;0;0;2;0;2
3502606;Pronto Atendimento;0;0;0;0;0
3502606;Unidade Básica de Saúde;0;0;2;0;2
3502606;Unidade de Saúde Mental ;0;0;0;0;0
3502606;Unidade Móvel;0;0;1;0;1
3502606;Vigilância em Saúde;0;0;0;0;0
3502705;Clínica;0;0;5;1;6
3502705;Consultório Isolado;0;0;0;29;29
3502705;Diagnose e Terapia;0;0;1;3;4
3502705;Hospital;0;0;0;1;1
3502705;Outros;0;0;3;0;3
3502705;Pronto Atendimento;0;0;0;0;0
3502705;Unidade Básica de Saúde;0;0;9;0;9
3502705;Unidade de Saúde Mental ;0;0;1;0;1
3502705;Unidade Móvel;0;0;2;0;2
3502705;Vigilância em Saúde;0;0;2;0;2
3502754;Clínica;0;0;2;5;7
3502754;Consultório Isolado;0;0;0;5;5
3502754;Diagnose e Terapia;0;0;0;2;2
3502754;Hospital;0;0;0;0;0
3502754;Outros;0;0;2;0;2
3502754;Pronto Atendimento;0;0;1;0;1
3502754;Unidade Básica de Saúde;0;0;4;0;4
3502754;Unidade de Saúde Mental ;0;0;1;0;1
3502754;Unidade Móvel;0;0;1;1;2
3502754;Vigilância em Saúde;0;0;1;0;1
3502804;Clínica;7;0;10;129;146
3502804;Consultório Isolado;1;0;28;711;740
3502804;Diagnose e Terapia;1;0;0;40;41
3502804;Hospital;0;0;1;9;10
3502804;Outros;4;0;3;13;20
3502804;Pronto Atendimento;0;0;2;1;3
3502804;Unidade Básica de Saúde;1;0;22;0;23
3502804;Unidade de Saúde Mental ;0;0;3;0;3
3502804;Unidade Móvel;1;0;3;2;6
3502804;Vigilância em Saúde;2;0;2;0;4
3502903;Clínica;0;0;2;4;6
3502903;Consultório Isolado;0;0;0;7;7
3502903;Diagnose e Terapia;0;0;0;6;6
3502903;Hospital;0;0;0;9;9
3502903;Outros;0;0;3;1;4
3502903;Pronto Atendimento;0;0;1;0;1
3502903;Unidade Básica de Saúde;0;0;7;0;7
3502903;Unidade de Saúde Mental ;0;0;1;0;1
3502903;Unidade Móvel;0;0;1;1;2
3502903;Vigilância em Saúde;0;0;2;0;2
3503000;Clínica;0;0;0;0;0
3503000;Consultório Isolado;0;0;4;2;6
3503000;Diagnose e Terapia;0;0;1;0;1
3503000;Hospital;0;0;0;0;0
3503000;Outros;0;0;1;0;1
3503000;Pronto Atendimento;0;0;0;0;0
3503000;Unidade Básica de Saúde;0;0;4;0;4
3503000;Unidade de Saúde Mental ;0;0;0;0;0
3503000;Unidade Móvel;0;0;1;0;1
3503000;Vigilância em Saúde;0;0;1;0;1
3503109;Clínica;0;0;0;0;0
3503109;Consultório Isolado;0;0;0;3;3
3503109;Diagnose e Terapia;0;0;1;0;1
3503109;Hospital;0;0;1;0;1
3503109;Outros;0;0;1;0;1
3503109;Pronto Atendimento;0;0;0;0;0
3503109;Unidade Básica de Saúde;0;0;1;0;1
3503109;Unidade de Saúde Mental ;0;0;0;0;0
3503109;Unidade Móvel;0;0;0;0;0
3503109;Vigilância em Saúde;0;0;1;0;1
3503158;Clínica;0;0;0;0;0
3503158;Consultório Isolado;0;0;0;0;0
3503158;Diagnose e Terapia;0;0;0;0;0
3503158;Hospital;0;0;0;0;0
3503158;Outros;0;0;1;0;1
3503158;Pronto Atendimento;0;0;0;0;0
3503158;Unidade Básica de Saúde;0;0;2;0;2
3503158;Unidade de Saúde Mental ;0;0;0;0;0
3503158;Unidade Móvel;0;0;1;0;1
3503158;Vigilância em Saúde;0;0;0;0;0
3503208;Clínica;1;0;21;73;95
3503208;Consultório Isolado;0;0;25;690;715
3503208;Diagnose e Terapia;1;0;3;20;24
3503208;Hospital;0;0;3;8;11
3503208;Outros;4;0;11;5;20
3503208;Pronto Atendimento;0;0;6;1;7
3503208;Unidade Básica de Saúde;6;0;37;1;44
3503208;Unidade de Saúde Mental ;0;0;2;0;2
3503208;Unidade Móvel;1;0;26;3;30
3503208;Vigilância em Saúde;0;0;4;0;4
3503307;Clínica;0;0;6;45;51
3503307;Consultório Isolado;0;0;0;337;337
3503307;Diagnose e Terapia;0;0;1;16;17
3503307;Hospital;0;0;1;4;5
3503307;Outros;0;0;3;3;6
3503307;Pronto Atendimento;0;0;2;0;2
3503307;Unidade Básica de Saúde;0;0;27;0;27
3503307;Unidade de Saúde Mental ;0;0;2;0;2
3503307;Unidade Móvel;0;0;3;0;3
3503307;Vigilância em Saúde;0;0;2;0;2
3503356;Clínica;0;0;0;0;0
3503356;Consultório Isolado;0;0;0;0;0
3503356;Diagnose e Terapia;0;0;0;0;0
3503356;Hospital;0;0;0;0;0
3503356;Outros;0;0;1;0;1
3503356;Pronto Atendimento;0;0;0;0;0
3503356;Unidade Básica de Saúde;0;0;1;0;1
3503356;Unidade de Saúde Mental ;0;0;0;0;0
3503356;Unidade Móvel;0;0;0;0;0
3503356;Vigilância em Saúde;0;0;0;0;0
3503406;Clínica;0;0;0;1;1
3503406;Consultório Isolado;0;0;2;0;2
3503406;Diagnose e Terapia;0;0;0;0;0
3503406;Hospital;0;0;0;1;1
3503406;Outros;0;0;2;3;5
3503406;Pronto Atendimento;0;0;0;0;0
3503406;Unidade Básica de Saúde;0;0;4;0;4
3503406;Unidade de Saúde Mental ;0;0;0;0;0
3503406;Unidade Móvel;0;0;1;0;1
3503406;Vigilância em Saúde;0;0;0;0;0
3503505;Clínica;0;0;0;0;0
3503505;Consultório Isolado;0;0;0;1;1
3503505;Diagnose e Terapia;0;0;0;0;0
3503505;Hospital;0;0;0;0;0
3503505;Outros;0;0;2;0;2
3503505;Pronto Atendimento;0;0;0;0;0
3503505;Unidade Básica de Saúde;0;0;2;0;2
3503505;Unidade de Saúde Mental ;0;0;0;0;0
3503505;Unidade Móvel;0;0;0;0;0
3503505;Vigilância em Saúde;0;0;0;0;0
3503604;Clínica;0;0;1;1;2
3503604;Consultório Isolado;0;0;0;14;14
3503604;Diagnose e Terapia;0;0;0;2;2
3503604;Hospital;0;0;0;0;0
3503604;Outros;0;0;2;0;2
3503604;Pronto Atendimento;0;0;0;0;0
3503604;Unidade Básica de Saúde;0;0;3;0;3
3503604;Unidade de Saúde Mental ;0;0;0;0;0
3503604;Unidade Móvel;0;0;1;0;1
3503604;Vigilância em Saúde;0;0;1;0;1
3503703;Clínica;0;0;1;0;1
3503703;Consultório Isolado;0;0;0;8;8
3503703;Diagnose e Terapia;0;0;1;1;2
3503703;Hospital;0;0;0;1;1
3503703;Outros;0;0;1;0;1
3503703;Pronto Atendimento;0;0;1;0;1
3503703;Unidade Básica de Saúde;0;0;3;0;3
3503703;Unidade de Saúde Mental ;0;0;0;0;0
3503703;Unidade Móvel;0;0;0;0;0
3503703;Vigilância em Saúde;0;0;0;0;0
3503802;Clínica;0;0;3;8;11
3503802;Consultório Isolado;0;0;0;50;50
3503802;Diagnose e Terapia;0;0;1;8;9
3503802;Hospital;0;0;0;3;3
3503802;Outros;0;0;4;3;7
3503802;Pronto Atendimento;0;0;1;0;1
3503802;Unidade Básica de Saúde;0;0;15;4;19
3503802;Unidade de Saúde Mental ;0;0;1;0;1
3503802;Unidade Móvel;0;0;1;0;1
3503802;Vigilância em Saúde;0;0;0;0;0
3503901;Clínica;0;0;4;20;24
3503901;Consultório Isolado;0;0;0;50;50
3503901;Diagnose e Terapia;0;0;0;10;10
3503901;Hospital;0;0;2;2;4
3503901;Outros;0;0;2;0;2
3503901;Pronto Atendimento;0;0;0;0;0
3503901;Unidade Básica de Saúde;0;0;7;0;7
3503901;Unidade de Saúde Mental ;0;0;0;0;0
3503901;Unidade Móvel;0;0;2;1;3
3503901;Vigilância em Saúde;0;0;1;0;1
3503950;Clínica;0;0;0;0;0
3503950;Consultório Isolado;0;0;0;0;0
3503950;Diagnose e Terapia;0;0;0;0;0
3503950;Hospital;0;0;0;0;0
3503950;Outros;0;0;1;0;1
3503950;Pronto Atendimento;0;0;0;0;0
3503950;Unidade Básica de Saúde;0;0;1;0;1
3503950;Unidade de Saúde Mental ;0;0;0;0;0
3503950;Unidade Móvel;0;0;0;0;0
3503950;Vigilância em Saúde;0;0;0;0;0
3504008;Clínica;1;0;6;19;26
3504008;Consultório Isolado;0;0;7;363;370
3504008;Diagnose e Terapia;0;0;0;23;23
3504008;Hospital;1;0;1;10;12
3504008;Outros;3;0;14;3;20
3504008;Pronto Atendimento;0;0;3;1;4
3504008;Unidade Básica de Saúde;1;0;22;0;23
3504008;Unidade de Saúde Mental ;0;0;2;0;2
3504008;Unidade Móvel;0;0;2;0;2
3504008;Vigilância em Saúde;0;0;0;0;0
3504107;Clínica;1;0;3;49;53
3504107;Consultório Isolado;0;0;0;331;331
3504107;Diagnose e Terapia;0;0;1;54;55
3504107;Hospital;0;0;0;3;3
3504107;Outros;0;0;3;9;12
3504107;Pronto Atendimento;0;0;1;0;1
3504107;Unidade Básica de Saúde;0;0;20;0;20
3504107;Unidade de Saúde Mental ;0;0;1;0;1
3504107;Unidade Móvel;0;0;8;0;8
3504107;Vigilância em Saúde;0;0;1;0;1
3504206;Clínica;0;0;1;0;1
3504206;Consultório Isolado;0;0;3;19;22
3504206;Diagnose e Terapia;0;0;0;2;2
3504206;Hospital;0;0;0;1;1
3504206;Outros;0;0;3;0;3
3504206;Pronto Atendimento;0;0;0;0;0
3504206;Unidade Básica de Saúde;0;0;6;0;6
3504206;Unidade de Saúde Mental ;0;0;0;0;0
3504206;Unidade Móvel;0;0;0;0;0
3504206;Vigilância em Saúde;0;0;1;0;1
3504305;Clínica;0;0;0;0;0
3504305;Consultório Isolado;0;0;0;0;0
3504305;Diagnose e Terapia;0;0;0;0;0
3504305;Hospital;0;0;0;0;0
3504305;Outros;0;0;1;0;1
3504305;Pronto Atendimento;0;0;0;0;0
3504305;Unidade Básica de Saúde;0;0;1;0;1
3504305;Unidade de Saúde Mental ;0;0;0;0;0
3504305;Unidade Móvel;0;0;0;0;0
3504305;Vigilância em Saúde;0;0;0;0;0
3504404;Clínica;0;0;1;0;1
3504404;Consultório Isolado;0;0;3;5;8
3504404;Diagnose e Terapia;0;0;0;2;2
3504404;Hospital;0;0;0;0;0
3504404;Outros;0;0;1;2;3
3504404;Pronto Atendimento;0;0;0;0;0
3504404;Unidade Básica de Saúde;1;0;5;0;6
3504404;Unidade de Saúde Mental ;0;0;0;0;0
3504404;Unidade Móvel;0;0;0;0;0
3504404;Vigilância em Saúde;0;0;0;0;0
3504503;Clínica;0;0;6;12;18
3504503;Consultório Isolado;0;0;0;220;220
3504503;Diagnose e Terapia;0;0;1;21;22
3504503;Hospital;0;0;0;1;1
3504503;Outros;1;0;2;3;6
3504503;Pronto Atendimento;0;0;1;0;1
3504503;Unidade Básica de Saúde;3;0;17;0;20
3504503;Unidade de Saúde Mental ;0;0;1;0;1
3504503;Unidade Móvel;0;0;3;0;3
3504503;Vigilância em Saúde;0;0;1;0;1
3504602;Clínica;0;0;1;3;4
3504602;Consultório Isolado;0;0;0;5;5
3504602;Diagnose e Terapia;0;0;0;2;2
3504602;Hospital;0;0;0;0;0
3504602;Outros;0;0;1;0;1
3504602;Pronto Atendimento;0;0;0;0;0
3504602;Unidade Básica de Saúde;0;0;3;0;3
3504602;Unidade de Saúde Mental ;0;0;0;0;0
3504602;Unidade Móvel;0;0;0;0;0
3504602;Vigilância em Saúde;0;0;1;0;1
3504701;Clínica;0;0;0;0;0
3504701;Consultório Isolado;0;0;0;0;0
3504701;Diagnose e Terapia;0;0;0;0;0
3504701;Hospital;0;0;0;0;0
3504701;Outros;0;0;1;0;1
3504701;Pronto Atendimento;0;0;0;0;0
3504701;Unidade Básica de Saúde;2;0;2;0;4
3504701;Unidade de Saúde Mental ;0;0;0;0;0
3504701;Unidade Móvel;0;0;0;0;0
3504701;Vigilância em Saúde;0;0;0;0;0
3504800;Clínica;0;0;0;0;0
3504800;Consultório Isolado;0;0;1;2;3
3504800;Diagnose e Terapia;0;0;0;1;1
3504800;Hospital;0;0;0;0;0
3504800;Outros;0;0;1;0;1
3504800;Pronto Atendimento;0;0;0;0;0
3504800;Unidade Básica de Saúde;0;0;3;0;3
3504800;Unidade de Saúde Mental ;0;0;0;0;0
3504800;Unidade Móvel;0;0;0;0;0
3504800;Vigilância em Saúde;0;0;0;0;0
3504909;Clínica;0;0;1;1;2
3504909;Consultório Isolado;0;0;0;1;1
3504909;Diagnose e Terapia;0;0;0;1;1
3504909;Hospital;0;0;0;0;0
3504909;Outros;0;0;2;2;4
3504909;Pronto Atendimento;0;0;0;0;0
3504909;Unidade Básica de Saúde;0;0;6;0;6
3504909;Unidade de Saúde Mental ;0;0;1;0;1
3504909;Unidade Móvel;0;0;1;0;1
3504909;Vigilância em Saúde;0;0;0;0;0
3505005;Clínica;0;0;0;0;0
3505005;Consultório Isolado;0;0;0;0;0
3505005;Diagnose e Terapia;0;0;0;0;0
3505005;Hospital;0;0;0;0;0
3505005;Outros;0;0;2;0;2
3505005;Pronto Atendimento;0;0;0;0;0
3505005;Unidade Básica de Saúde;0;0;2;0;2
3505005;Unidade de Saúde Mental ;0;0;0;0;0
3505005;Unidade Móvel;0;0;0;0;0
3505005;Vigilância em Saúde;0;0;1;0;1
3505104;Clínica;0;0;0;0;0
3505104;Consultório Isolado;0;0;0;0;0
3505104;Diagnose e Terapia;0;0;0;0;0
3505104;Hospital;0;0;0;0;0
3505104;Outros;0;0;2;0;2
3505104;Pronto Atendimento;0;0;0;0;0
3505104;Unidade Básica de Saúde;0;0;1;0;1
3505104;Unidade de Saúde Mental ;0;0;0;0;0
3505104;Unidade Móvel;0;0;0;0;0
3505104;Vigilância em Saúde;0;0;0;0;0
3505203;Clínica;0;0;3;8;11
3505203;Consultório Isolado;0;0;0;59;59
3505203;Diagnose e Terapia;0;0;1;10;11
3505203;Hospital;0;0;0;1;1
3505203;Outros;0;0;1;0;1
3505203;Pronto Atendimento;0;0;0;0;0
3505203;Unidade Básica de Saúde;0;0;6;0;6
3505203;Unidade de Saúde Mental ;0;0;2;0;2
3505203;Unidade Móvel;0;0;0;0;0
3505203;Vigilância em Saúde;0;0;0;0;0
3505302;Clínica;0;0;1;4;5
3505302;Consultório Isolado;0;0;0;82;82
3505302;Diagnose e Terapia;0;0;1;8;9
3505302;Hospital;0;0;0;1;1
3505302;Outros;0;0;2;0;2
3505302;Pronto Atendimento;0;0;0;0;0
3505302;Unidade Básica de Saúde;0;0;8;0;8
3505302;Unidade de Saúde Mental ;0;0;1;0;1
3505302;Unidade Móvel;0;0;0;0;0
3505302;Vigilância em Saúde;0;0;0;0;0
3505351;Clínica;0;0;0;0;0
3505351;Consultório Isolado;0;0;0;0;0
3505351;Diagnose e Terapia;0;0;0;0;0
